substep,timestep,subset,funding_pool,collateral_pool,sentiment,token_supply,run,token_price,simulation
2,317,0,9272949.583480999,14730468.845308024,0.6788507589506492,339754391.4849,1,0.08671245590632905,5
2,318,0,8785879.873382151,14630628.901242768,0.6741524830885803,338601042.8433695,1,0.08641809711147655,5
2,319,0,8819811.991113238,14659491.630932866,0.6692386899851319,338934867.70023763,1,0.08650329622562222,5
2,320,0,8705140.45299641,14690004.409585072,0.6686352417092699,339287419.7866239,1,0.08659327492203243,5
2,321,0,8551265.826440485,14638047.619261706,0.6697372184327628,338686878.7742374,1,0.08644000424367881,5
2,322,0,8596569.830953822,14630630.427420812,0.6648226885182335,338601060.50376767,1,0.08641810161878105,5
2,323,0,8668423.067786423,14478668.108818034,0.7174887117051657,336838015.8308154,1,0.08596813559245212,5
2,324,0,8739862.224872516,14385229.307309773,0.6964710010462656,335749356.1517012,1,0.0856902867793445,5
2,325,0,8799446.502581563,14368931.175067574,0.744233087121161,335559104.11936873,1,0.08564173046520057,5
2,326,0,8472433.552655343,14452518.943122387,0.7393623974659885,336533705.6018049,1,0.08589046923117394,5
2,327,0,8485088.29647979,14591685.332715865,0.7116664031670488,338150101.20943975,1,0.08630300733624932,5
2,328,0,8516973.843195781,14636072.594208376,0.7067526100636006,338664029.49635136,1,0.08643417262810346,5
2,329,0,8437560.572839463,14756729.180799412,0.7021287176249804,340057100.50076354,1,0.08678971360438498,5
2,330,0,8465762.354506847,14852302.81792878,0.6972141877104503,341156532.4942992,1,0.0870703117383629,5
2,331,0,8479600.004191436,14925493.471075032,0.692299657795921,341996091.97369176,1,0.08728458494913553,5
2,332,0,8498012.67908799,14958671.093781814,0.6873851278813905,342375989.58904004,1,0.08738154279882168,5
2,333,0,8495452.35813163,14869953.165795062,0.6865253344097263,341359186.0365628,1,0.087122033178286,5
2,334,0,8543858.22993968,14843490.203872185,0.681611541306279,341055304.8598764,1,0.08704447632017147,5
2,335,0,8575629.407401633,14858467.520939505,0.6766977482028298,341227326.5839143,1,0.08708837987678297,5
2,336,0,8380622.059099173,14719347.748322593,0.6553876623711943,339626114.6797728,1,0.08667971697171283,5
2,337,0,8148050.942932978,14733322.63550573,0.6547842140953326,339787300.85140723,1,0.08672085506779299,5
2,338,0,8167617.600375166,14832727.22459172,0.7307324493152171,340931633.24398685,1,0.08701291272656252,5
2,339,0,8202670.404084142,14821072.167878965,0.7029353142490623,340797660.6325084,1,0.08697872010254754,5
2,340,0,8229339.360891571,14891268.118179275,0.6980215211456142,341603754.70345175,1,0.08718445223827516,5
2,341,0,8285293.8181732055,14805979.426407006,0.6931077280421657,340624094.204313,1,0.08693442230499462,5
2,342,0,8320993.232149446,14832754.530673044,0.6881939349387172,340931947.0602688,1,0.08701299281906814,5
2,343,0,8335964.829534784,14888183.329064844,0.6832801418352692,341568370.54023737,1,0.08717542145671822,5
2,344,0,8391281.430052053,14753965.041143522,0.6570196147496079,340025250.30799735,1,0.08678158476630353,5
2,345,0,8078187.032682184,14711641.374885235,0.6578778399813169,339537196.7339554,1,0.08665702324456989,5
2,346,0,8130926.570539311,14587643.28971682,0.6529647965030563,338103262.4829088,1,0.08629105310957613,5
2,347,0,8199394.109608222,14405740.433174737,0.6480517530247958,335988634.375818,1,0.08575135560723335,5
2,348,0,8267859.009783819,14215191.869313966,0.6431387095465344,333759131.7197159,1,0.08518233970749657,5
2,349,0,8033957.304091151,14159899.753970653,0.7020554059351858,333109396.2570166,1,0.08501651357228798,5
2,350,0,7804432.478742694,14181614.215082942,0.7005896182951231,333364713.0384048,1,0.08508167577681906,5
2,351,0,7693863.954617437,14189786.936398447,0.6792479945032471,333460756.5650024,1,0.08510618810182179,5
2,352,0,7744901.248800721,14134663.033155484,0.6743349510249864,332812418.9472087,1,0.08494071872598931,5
2,353,0,7785112.758411656,14097112.357210435,0.6694219075467257,332370043.9670455,1,0.08482781534071203,5
2,354,0,7811921.094287769,14142747.913571447,0.6645088640684647,332907587.96332765,1,0.08496500785755225,5
2,355,0,7687890.693328606,13837308.169725385,0.6603512456136785,329293077.20212936,1,0.08404250880276877,5
2,356,0,7728927.657449778,13773654.057285437,0.635967091758157,328534800.3811458,1,0.08384898063344338,5
2,357,0,7525742.022810889,13666046.200678188,0.6357350838792135,327248930.77685845,1,0.08352079970581582,5
2,358,0,7588899.972312127,13518925.24329212,0.6308666628265818,325482675.43668973,1,0.08307001424978586,5
2,359,0,7654444.159588145,13370056.992571319,0.6260066864827983,323685632.8748675,1,0.08261137124822591,5
2,360,0,7664028.221996192,12898906.988590365,0.5951039897335837,317931273.40831065,1,0.08114273786476264,5
2,1,0,18807229.73512838,28210844.602692567,0.75,470180743.3782095,1,0.12000000000000001,6
2,2,0,18807773.670260314,28328221.369404417,0.7363276532487819,471157867.7762732,1,0.12024938266702542,6
2,3,0,18808243.260064624,28406107.720019046,0.7313276532487817,471805130.04629445,1,0.12041457759152294,6
2,4,0,18808781.13273024,28468857.22620638,0.7263276532487817,472325954.7838023,1,0.12054750300240193,6
2,5,0,18809142.927075237,28547001.152988497,0.7213276532487818,472973752.3254811,1,0.12071283453946774,6
2,6,0,18809516.504929937,28622958.56812175,0.7163276532487813,473602574.9022622,1,0.12087332326699743,6
2,7,0,18810214.831255034,28697733.064976107,0.7113276532487817,474220790.0995746,1,0.12103110476852058,6
2,8,0,18810593.369834468,28782218.431048498,0.7062453889482513,474918323.8197277,1,0.12120913002284504,6
2,9,0,18811227.02557578,28847957.28320882,0.7012453889482506,475460373.39898187,1,0.1213474724590817,6
2,10,0,18811983.455279812,28903920.8823674,0.6962453889482507,475921334.6590039,1,0.12146511945331036,6
2,11,0,18812455.872875825,29009107.725744504,0.6912453889482512,476786532.16488665,1,0.12168593602686878,6
2,12,0,18812911.992188483,29065997.18777869,0.6862453889482506,477253813.7577448,1,0.12180519610277087,6
2,13,0,18813289.536837786,29107871.021545313,0.6812453889482509,477597467.10431117,1,0.12189290365389613,6
2,14,0,18813875.03917033,29178547.4111011,0.676245388948251,478176939.22591466,1,0.12204079710885306,6
2,15,0,18814595.082900062,29235866.50221577,0.6712453889482508,478646380.34979963,1,0.12216060834242559,6
2,16,0,18815367.50824737,29307261.75402426,0.6688481791422558,479230461.5715855,1,0.12230967813654502,6
2,17,0,18791508.134503882,29334946.893190257,0.6638481791422555,479456760.9493146,1,0.12236743449026628,6
2,18,0,18792168.853507884,29372938.40143748,0.6596505405594961,479767131.2346965,1,0.12244664750519803,6
2,19,0,18715450.935140453,29508890.2521553,0.7140369859335772,480876144.0507035,1,0.12272969086627798,6
2,20,0,18697109.324698962,29612670.305051483,0.7090369859335768,481721000.4667801,1,0.12294531596653362,6
2,21,0,18697775.66756289,29702777.04253842,0.7040369859335771,482453344.72633946,1,0.12313222560157247,6
2,22,0,18677428.940935723,29828779.024535242,0.6990369859335772,483475568.08006203,1,0.12339311846920749,6
2,23,0,18678096.086395986,29929835.26807831,0.6940369859335768,484293853.5560893,1,0.12360196210754486,6
2,24,0,18678908.42724424,30049497.542924676,0.6890369859335768,485261013.8347197,1,0.12384880172203391,6
2,25,0,18657267.411853243,30156598.069750343,0.6840369859335773,486125013.04008025,1,0.1240693124641335,6
2,26,0,18658326.187000155,30231158.354041908,0.6632629878669944,486725598.7392998,1,0.12422259454750535,6
2,27,0,18611107.492673844,30284451.786231723,0.6582629878669943,487154425.4418027,1,0.12433204012779564,6
2,28,0,18606096.76535514,30408412.546616994,0.6884603025967878,488150421.0814471,1,0.12458623913198838,6
2,29,0,18527598.18961536,30482703.924414046,0.6834603025967874,488746362.15796804,1,0.12473833581010559,6
2,30,0,18425233.930871163,30594050.04438557,0.7310721957122868,489638186.02479917,1,0.1249659479901596,6
2,31,0,18365519.48707811,30739465.496319365,0.7608165976667097,490800447.1966901,1,0.1252625814499326,6
2,32,0,17687417.497409936,30920847.388175953,0.784642991947486,492246330.79480195,1,0.12563160130924628,6
2,33,0,17596304.07677851,31084193.08812323,0.7796429919474855,493544814.1335222,1,0.12596300152680281,6
2,34,0,17470655.326916434,31201968.51248895,0.7896005268757837,494478930.29035354,1,0.1262014075874474,6
2,35,0,16870087.060365245,31540521.06427195,0.903907046019588,497154329.5016726,1,0.12688422565237195,6
2,36,0,16827128.18469672,31822659.824669026,0.8662861997079399,499372971.0452693,1,0.12745046956810255,6
2,37,0,16024901.193963615,32153940.135327548,0.8824142964832863,501965527.95596683,1,0.12811214453813308,6
2,38,0,16041809.565257423,32325540.79780568,0.8633713127788669,503303202.22861874,1,0.12845354710507978,6
2,39,0,16068043.468099449,32621820.759065405,0.9006712702864822,505604455.6575835,1,0.12904087530889274,6
2,40,0,16083400.870660678,32892016.07521065,0.8795303264727256,507694011.6751848,1,0.12957417388745757,6
2,41,0,16135619.508719226,33001990.28480784,0.8960711178862709,508542038.9877877,1,0.1297906082670989,6
2,42,0,16148486.045463378,33374106.13130031,0.8910711178862706,511401049.9011195,1,0.13052028789441583,6
2,43,0,16242228.933450157,33278835.72916311,0.8529205762532137,510670600.3204549,1,0.13033386182122114,6
2,44,0,16262801.450987937,33481099.39948008,0.8479205762532132,512220138.299398,1,0.1307293364553739,6
2,45,0,16267519.763417209,33803848.149078876,0.8429205762532133,514683048.936884,1,0.13135792297377283,6
2,46,0,16352183.501507195,33742983.76417107,0.8653680203321981,514219492.5327252,1,0.1312396136442597,6
2,47,0,16365266.422948288,33981849.54087992,0.8603680203321977,516036356.5760554,1,0.13170331550417244,6
2,48,0,16394503.698060585,34113118.451455735,0.8553680203321976,517032097.528035,1,0.1319574495067244,6
2,49,0,16450656.114020621,34157904.749382846,0.8258587598170412,517371385.74572164,1,0.13204404298528724,6
2,50,0,16488215.946579617,34225701.91866411,0.8208587598170409,517884574.8291554,1,0.13217501961688977,6
2,51,0,15537823.770177357,34221594.033240795,0.8179373421245265,517853494.7604463,1,0.1321670873306411,6
2,52,0,15602436.849663127,34153567.070625566,0.8129373421245272,517338534.4608219,1,0.13203565864746933,6
2,53,0,14940622.245290654,34383954.325310655,0.862601409921047,519080488.3791621,1,0.1324802418702932,6
2,54,0,15010774.38866043,34337968.57090623,0.8396756391496786,518733258.1839193,1,0.13239162143226815,6
2,55,0,15048804.950198315,34451133.273870096,0.8346756391496787,519587327.48419374,1,0.13260959785405133,6
2,56,0,14778243.15706372,34558421.476540215,0.8307457104842791,520395751.6451167,1,0.13281592467767608,6
2,57,0,14304886.15114776,34469862.612005405,0.8275388164044403,519728544.96453965,1,0.13264563952075112,6
2,58,0,13896508.957607616,34435026.30007634,0.798215606774059,519465851.68514025,1,0.13257859467901337,6
2,59,0,13942902.815147514,34452316.97544063,0.7932156067740597,519596253.6209305,1,0.13261187599160476,6
2,60,0,14046583.059592627,34203219.3024839,0.7882156067740591,517714449.56928724,1,0.13213160007776212,6
2,61,0,14067059.942181798,34339935.10291095,0.8307381022993637,518748111.87200385,1,0.1323954124054104,6
2,62,0,14102411.886411939,34401065.93854483,0.8257381022993636,519209635.8246158,1,0.13251320301060512,6
2,63,0,14140743.638657844,34462237.064112805,0.8207381022993631,519671053.6688993,1,0.13263096653472606,6
2,64,0,14139835.425969636,34264237.76399323,0.7925642705128658,518176044.46047187,1,0.1322494087879704,6
2,65,0,14003628.836100886,34316402.91942934,0.8311932721674722,518570339.72778535,1,0.1323500412208039,6
2,66,0,14077659.709669149,34338761.174577706,0.8261932721674723,518739244.960795,1,0.13239314938345542,6
2,67,0,14119614.472454209,34392288.15948058,0.8000899756781389,519143390.8099985,1,0.13249629589165984,6
2,68,0,13707413.29560443,34460955.86590635,0.7743766311338149,519661393.7067661,1,0.13262850110952032,6
2,69,0,13793792.03827005,34307498.94601472,0.7693766311338146,518503059.4233805,1,0.13233286987416268,6
2,70,0,13910024.937930193,33937834.35765047,0.740722228934861,515702048.779568,1,0.1316179931336937,6
2,71,0,14000458.397309134,33655549.04899126,0.7357222289348608,513552838.4151674,1,0.13106946951302167,6
2,72,0,14109082.171340209,33334946.290894937,0.730722228934861,511100933.0769163,1,0.13044369177811035,6
2,73,0,14313180.300449997,32610234.759845622,0.7257222289348608,505514662.18633956,1,0.129017958129274,6
2,74,0,14378450.533668082,32473083.877814066,0.7207222289348609,504450504.96313256,1,0.12874636285749122,6
2,75,0,14488249.556114284,32177365.69527711,0.7178767919273126,502148346.6493059,1,0.12815880370805793,6
2,76,0,14578216.336548088,31867641.182499252,0.6926236984539643,499725778.48418593,1,0.1275405134358412,6
2,77,0,14702128.328380384,31466383.92728091,0.6876722421432844,496569696.12118363,1,0.1267350149357556,6
2,78,0,14758065.772202592,31329888.949858483,0.6827207858326049,495491514.8348693,1,0.12645984042854774,6
2,79,0,14954649.445633205,30639928.967688926,0.6777693295219256,490005179.88900745,1,0.1250596125315625,6
2,80,0,15167695.826555042,29864073.06717576,0.6728178732112456,483761512.7833456,1,0.12346609756262483,6
2,81,0,15304950.813487625,29381008.080274,0.6678664169005661,479833030.34118736,1,0.122463466341125,6
2,82,0,15411905.10499831,28999205.508893687,0.6629149605898866,476705150.023735,1,0.12166516559533636,6
2,83,0,15536664.711075293,28586629.582860403,0.6579635042792067,473301925.27157575,1,0.12079659116728794,6
2,84,0,15754345.839330629,27764362.88135479,0.6530120479685274,466445223.27524805,1,0.11904661681987519,6
2,85,0,15909071.108927581,27191161.443221923,0.6480605916578476,461605179.43171215,1,0.1178113359849961,6
2,86,0,16103550.580690365,26440409.208152384,0.6431091353471681,455188079.3824523,1,0.11617355728657808,6
2,87,0,16222590.769243166,26001998.365921147,0.6381576790364886,451398547.49817616,1,0.11520638916555755,6
2,88,0,16390955.732076393,25367759.82446705,0.6332068876927558,445859323.3316946,1,0.11379266282874094,6
2,89,0,16469438.733626232,25086615.06435986,0.6283039750713963,443381764.017641,1,0.11316033766044438,6
2,90,0,16572253.623198409,24697210.264148682,0.6234010624500376,439927128.08231795,1,0.11227864201876366,6
2,91,0,16722661.413844712,24124334.506065592,0.6184981498286778,434794923.52844745,1,0.11096879563492514,6
2,92,0,16879663.838890612,23530608.700364575,0.6135952372073188,429411207.175577,1,0.10959475815796962,6
2,93,0,17151181.064814575,22473570.7116787,0.6086923245859597,419655417.8446059,1,0.10710487583887424,6
2,94,0,17285423.23870332,21951272.542228684,0.6037894119646001,414750238.9391066,1,0.10585297116827731,6
2,95,0,17473879.663216762,21208299.87102438,0.5988864993432415,407670908.92749566,1,0.10404617747594191,6
2,96,0,16671926.352253951,20478738.019859627,0.5988379556539207,400597642.3966488,1,0.102240931311237,6
2,97,0,16755276.655610751,20156422.174590185,0.5939350430325614,397432626.6151669,1,0.10143315281514423,6
2,98,0,16836251.37942679,19949955.339665186,0.6565513411148215,395391890.65967315,1,0.10091231414170188,6
2,99,0,16970994.447015814,19488306.438305054,0.6502624113807396,390790361.71039784,1,0.09973790731690159,6
2,100,0,17073809.43058467,19149923.449368797,0.6453585652268935,387382783.19727516,1,0.09886822171762175,6
2,101,0,17184883.940976474,18733028.218463793,0.6404547190730476,383142904.87759006,1,0.09778611572853628,6
2,102,0,16854042.140358783,18560270.812152006,0.6410152230983219,381372126.4014653,1,0.09733417587321974,6
2,103,0,16627615.622043796,18270231.734569922,0.639412941538119,378380565.45080465,1,0.09657066669268635,6
2,104,0,16724819.921037745,17967905.74461546,0.6344801379674009,375236886.95615774,1,0.09576833392029933,6
2,105,0,16833106.918865643,17591608.211911134,0.6295815021522656,371286848.3687195,1,0.09476020111782235,6
