timestep,run,funding_pool,token_supply,collateral_pool,simulation,sentiment,substep,subset,token_price
167,1,13128847.567287905,523642202.42828095,26434851.46017644,12,0.5665828019507765,2,0,0.10096532073843689
168,1,13077865.670971923,517280678.04210865,25796459.59553556,12,0.6198456442880842,2,0,0.0997387325317248
169,1,12622919.34565026,513644678.2915169,25435084.134244844,12,0.6565290033919888,2,0,0.09903766245119848
170,1,12741319.714173734,510628596.54933983,25137255.437055316,12,0.6516384924430839,2,0,0.09845612097295225
171,1,12833000.85420949,508035976.1758994,24882644.107517157,12,0.6467479814941786,2,0,0.0979562285915828
172,1,12921319.19347472,505816653.46664387,24665722.466214508,12,0.6418574705452735,2,0,0.09752831306429531
173,1,12995088.040532093,503838220.23486173,24473146.565852154,12,0.6369669595963685,2,0,0.09714684429634622
174,1,13280743.011358403,493004261.32223165,23431977.360224288,12,0.6099227018510586,2,0,0.09505791003663945
175,1,13363246.973586027,490869003.01954144,23229443.718730807,12,0.6050686872525184,2,0,0.09464620326741652
176,1,13470619.524754768,487172594.99101436,22880909.98066255,12,0.6002194809076113,2,0,0.09393348565136171
177,1,13557421.219502978,484481663.07033813,22628839.458269633,12,0.5946977397936648,2,0,0.09341463746991939
178,1,13215373.787489869,481987744.01978135,22396470.52901961,12,0.5909129115645458,2,0,0.0929337760426557
179,1,13322086.5849512,478544063.9679196,22077579.619834453,12,0.5860953933163707,2,0,0.09226978780919318
180,1,13513083.962068856,470926563.63502556,21380308.610506803,12,0.5812778750681955,2,0,0.09080103040047166
181,1,13654337.443138476,465877630.62527955,20924317.865963887,12,0.5764603568200205,2,0,0.08982752761870205
182,1,13797741.866456788,460582168.56234604,20451343.03240999,12,0.5722285014988658,2,0,0.0888064906908858
183,1,13906998.627009153,456340515.3266861,20076391.20824443,12,0.5674123250282772,2,0,0.08798864240170348
184,1,14015773.41432571,452128111.0162023,19707458.147431474,12,0.5625961485576892,2,0,0.08717643370210727
185,1,13686889.495547317,449731280.8511938,19499064.878647994,12,0.5614564426753362,2,0,0.08671429232915559
186,1,13796096.609762076,445126365.71287465,19101797.25050246,12,0.531454297904415,2,0,0.08582640221686588
187,1,13893430.887975547,441160130.85609907,18762906.159333225,12,0.526674886139709,2,0,0.08506165832765814
188,1,13375574.126719419,435743436.97667605,18304981.825521022,12,0.5227374301953891,2,0,0.08401724626090389
189,1,13523683.611093083,428877738.7171932,17732689.168987583,12,0.5179819513343107,2,0,0.08269344649142872
190,1,13610207.722676616,425312785.51137865,17439116.125154205,12,0.5132393042754873,2,0,0.08200607514860447
191,1,13508917.440701693,420765177.4483922,17068178.40012821,12,0.5696722307236646,2,0,0.08112923461790827
192,1,13546918.988756511,421143982.28322387,17098924.380156152,12,0.6256499688544407,2,0,0.08120227332920521
193,1,13617382.027363174,419704022.3270854,16982196.256202582,12,0.6206867335603228,2,0,0.08092462951411959
194,1,13691720.399465939,417750125.0178409,16824445.893936887,12,0.615723498266205,2,0,0.08054789160490791
195,1,13747914.169102993,416438503.03242254,16718963.362053793,12,0.6107602629720875,2,0,0.0802949930917032
196,1,13515869.426950004,414709622.7454679,16580431.09383934,12,0.5889515945434654,2,0,0.07996164151713327
197,1,13569222.80230214,413602612.0028937,16492030.841575226,12,0.5839883592493474,2,0,0.07974819482745357
198,1,13211314.672483632,411669330.81331927,16338215.484307755,12,0.5616882114623808,2,0,0.0793754319858075
199,1,13275369.07482876,409835751.2736556,16192998.43721506,12,0.5571564189172108,2,0,0.0790218929748892
200,1,13419565.411874566,403722859.6706156,15713548.64624702,12,0.5522382441678355,2,0,0.07784324454189785
201,1,13544227.531148227,398462856.4301733,15306760.275315924,12,0.5473477332189308,2,0,0.07682904455611804
202,1,13230568.156197688,394687526.16939765,15018079.355811719,12,0.5240448761582082,2,0,0.07610110966296942
203,1,13311720.054404825,391221579.2640197,14755475.064525092,12,0.5192273579100329,2,0,0.07543282807806066
204,1,13411781.327431008,386672594.77727944,14414327.270427503,12,0.5174422826794887,2,0,0.07455572215419119
205,1,13453368.746700848,385667486.8640175,14339488.118285032,12,0.5126234420997784,2,0,0.07436192371249066
206,1,13532708.04158926,382429622.17390627,14099724.977534058,12,0.507804601520068,2,0,0.07373761947301426
207,1,13622273.955069277,378429440.88683283,13806303.78032017,12,0.503004102236596,2,0,0.07296633025150318
208,1,13732836.883541007,373065195.08822405,13417668.567840848,12,0.49822149354094364,2,0,0.07193203088627863
209,1,13716646.229577985,367466071.9071069,13017934.636290602,12,0.4970964389330975,2,0,0.07085244397518939
210,1,13770377.930907806,365448423.99424356,12875371.813256077,12,0.4923500621215034,2,0,0.07046341408471302
211,1,13844320.88750573,361754126.33066976,12616374.7311296,12,0.47103923286425603,2,0,0.06975110337565195
212,1,13912779.047944192,359710179.68597764,12474209.957764585,12,0.5312320316189623,2,0,0.0693570027328913
213,1,13963910.643145813,357768300.011456,12339890.543890221,12,0.5264510097211522,2,0,0.06898258198669412
