collateral_pool,substep,funding_pool,timestep,token_price,subset,run,token_supply,sentiment,simulation
13025843.566886934,2,27332947.10432767,74,0.04707772887950069,0,1,553376039.028036,0.610576543247778,7
12842582.114541935,2,27395421.209646363,75,0.04674538596379373,0,1,549469508.0489465,0.5806937367327886,7
12801560.893757682,2,27418748.21218783,76,0.046670670206766664,0,1,548591260.2944201,0.5758326256216776,7
12725780.874559531,2,25866271.99737987,77,0.04653232950658235,0,1,546965131.9631171,0.5736536613365412,7
12681265.250038553,2,25898271.695142608,78,0.04645087162232851,0,1,546007633.748805,0.5687925502254297,7
12516394.277153526,2,25955947.523425393,79,0.04614792647539041,0,1,542446659.3890506,0.5639314391143189,7
12342761.728309663,2,26014166.313405402,80,0.04582671712757418,0,1,538670998.140644,0.5590936659580913,7
12118618.247180594,2,25485354.92324374,81,0.04540870606982162,0,1,533757479.3937836,0.5594179431024316,7
11951356.753812397,2,25538032.51956456,82,0.045094251182964375,0,1,530061213.58224744,0.5552122016019241,7
11855127.515641402,2,25578365.71310674,83,0.044912340636192094,0,1,527922942.6795042,0.5504008808472073,7
11831249.646974808,2,25610678.183776893,84,0.044867088001399345,0,1,527391019.74283725,0.6027667492713529,7
11678762.937018419,2,25191852.198613312,85,0.04457701625894889,0,1,523981366.0553781,0.6026724096487116,7
11731798.663381424,2,24499043.91044764,86,0.04467811842501678,0,1,525169773.3453518,0.6637314944709581,7
11840866.6684598,2,24526906.938220464,87,0.044885319384987486,0,1,527605320.8800444,0.7103537410240044,7
11874737.885628564,2,24565990.299261298,88,0.04494947156078802,0,1,528359398.822725,0.7054004699959671,7
12057901.976995872,2,24140399.70406524,89,0.045294810689868514,0,1,532418694.03344125,0.7051200961641912,7
12138161.44381118,2,24167066.392900024,90,0.04544530569531527,0,1,534187690.37183285,0.700166825136154,7
12213719.608388146,2,23644908.07362305,91,0.0455865312346524,0,1,535847728.5985709,0.7538892815413564,7
12378199.926570754,2,23674181.720921893,92,0.04589245817830855,0,1,539443752.5432627,0.7488892815413561,7
12437669.290628355,2,23722645.782137234,93,0.046002568095693384,0,1,540738041.6134956,0.7438892815413566,7
12523982.352552172,2,23119651.61469936,94,0.04616191296705076,0,1,542611063.8652035,0.7230519526246358,7
12636780.781919006,2,23157529.450753026,95,0.04636932780208892,0,1,545049125.3983512,0.7180519526246357,7
12637011.010733932,2,23206198.313743215,96,0.04636975020028309,0,1,545054090.4857746,0.713051952624636,7
12750185.886730995,2,23216685.207182147,97,0.04657692708914146,0,1,547489355.07613,0.6867326011540504,7
12710340.494648876,2,23272413.298490383,98,0.04650409175363908,0,1,546633210.7713622,0.681778897450347,7
12699112.988402056,2,23308215.189345136,99,0.04648354783765041,0,1,546391726.9290758,0.6768251937466433,7
12723694.939060027,2,23331250.97930292,100,0.04652851569677403,0,1,546920302.4648476,0.6718714900429396,7
12813667.780936498,2,23347064.49788785,101,0.04669273403995213,0,1,548850610.0316432,0.6669177863392358,7
12792932.763352463,2,23387884.69228723,102,0.046654939761644,0,1,548406356.484884,0.6619640826355324,7
12761422.85777757,2,23419155.783781253,103,0.04659744711605341,0,1,547730558.11382,0.6570103789318281,7
12781177.270679185,2,23145408.276928954,104,0.046633499101225655,0,1,548154331.8435336,0.6594485254577126,7
12643835.470297784,2,23208163.303584788,105,0.04638226921181915,0,1,545201245.4395343,0.6338491309955075,7
12635218.765137048,2,23234303.241374355,106,0.04636646188600559,0,1,545015437.9344883,0.6289216387100119,7
12681771.081843635,2,23261172.479188208,107,0.04645179803201539,0,1,546018523.2486862,0.6818676439009428,7
12762921.171864152,2,23269467.216067225,108,0.046600182530552085,0,1,547762711.5943809,0.6769628704504399,7
12718253.017148323,2,23318624.402805917,109,0.04651856451396204,0,1,546803331.1015468,0.6721004851293384,7
12763820.888981443,2,23341925.62941041,110,0.04660182503239185,0,1,547782018.4127814,0.6672380998082379,7
12706760.259350032,2,23384367.456771236,111,0.046497541680604666,0,1,546556217.8161497,0.662375714487137,7
12685507.71613016,2,22433244.839039743,112,0.046458640948366776,0,1,546098958.4361104,0.6620546135697053,7
12705040.175725179,2,22201186.46092239,113,0.04649439444380886,0,1,546519223.5627437,0.6617335126522751,7
12694640.378845107,2,21984451.549555514,114,0.04647536139701167,0,1,546295499.2604474,0.6602456234619102,7
12684566.497209245,2,22021343.833387572,115,0.04645691738459543,0,1,546078698.7737287,0.6553365325528192,7
12565307.587671323,2,22075984.592052765,116,0.04623801020114758,0,1,543505550.2176201,0.6315844696152915,7
12709737.176079635,2,22088429.714195143,117,0.046502988041466235,0,1,546620237.1661147,0.6845168850519525,7
12773881.70604309,2,21448939.36705895,118,0.046620187875542805,0,1,547997864.7938627,0.6821715101094923,7
12821737.913508186,2,20596010.587382097,119,0.04670743542165508,0,1,549023417.6960876,0.679967430124251,7
12870162.038048107,2,20632944.05397489,120,0.0467955527733297,0,1,550059194.7439599,0.7339352986893954,7
13002155.383916648,2,20651630.17535849,121,0.04703490273479117,0,1,552872638.3141474,0.7289803437344404,7
12992397.570030067,2,20697247.911303848,122,0.04701725012431568,0,1,552665140.3762491,0.7240253887794852,7
13030154.674794687,2,20741210.45700572,123,0.04708551879260768,0,1,553467605.7064234,0.719070433824531,7
13050152.35719576,2,20775218.07761526,124,0.0471216365623735,0,1,553892152.7023648,0.7141154788695756,7
