collateral_pool,substep,token_supply,simulation,run,sentiment,funding_pool,timestep,token_price,subset
5027120.72334214,2,198479862.9060813,0,1,0.5779720386933179,14476229.060358372,149,0.050656229299401764,0
5070134.2291863365,2,199327179.9874993,0,1,0.5731190975168474,14487894.674440145,150,0.05087248241312909,0
5098374.779423022,2,199881533.40624171,0,1,0.5682661563403768,14500027.125690507,151,0.051013965047596685,0
5049433.1788456,2,198919843.3904228,0,1,0.56427091272032,14540408.440313166,152,0.050768521559058415,0
5056779.032410189,2,199064483.88055754,0,1,0.5594165437882815,14562852.814928232,153,0.050805436849743146,0
5043679.6937503405,2,198806483.28500736,0,1,0.5545621748562426,14588457.376531862,154,0.05073958967947502,0
5079804.485324438,2,199517177.5865346,0,1,0.5497078059242039,14598703.461625827,155,0.050920973790552194,0
5044009.193946985,2,198812977.1257616,0,1,0.5448534369921649,14637029.767688083,156,0.05074124704401298,0
5098383.349131837,2,199881701.3936782,0,1,0.5400488499685191,14644265.02010003,157,0.051014007921518396,0
5110186.64463586,2,200112941.25136295,0,1,0.541771219126449,13978016.470778948,158,0.05107302518947964,0
5118496.130840363,2,200275573.30575833,0,1,0.5389963411737798,13993844.956216216,159,0.051114532305205455,0
5168418.699520099,2,201249883.9018381,0,1,0.5342367257891643,14001599.818651121,160,0.05136319683087176,0
5117054.711647796,2,200247371.52788174,0,1,0.5318879264585569,13735886.077322202,161,0.051107334619224364,0
5081667.555311642,2,199553761.7100279,0,1,0.5271283110739414,13758870.432469556,162,0.050930310827172746,0
5083815.1976866685,2,199595925.51142573,0,1,0.5224076271122098,13775196.283056872,163,0.05094107191477362,0
5091447.934981335,2,199745703.956346,0,1,0.5459726971672738,13131956.399922503,164,0.050979298519422074,0
5155158.590224947,2,200991554.47366968,0,1,0.5906082394744189,13149945.934240548,165,0.05129726573561362,0
5145900.314939055,2,200810990.545347,0,1,0.5858486240898035,13183517.110324241,166,0.05125118202907336,0
5100588.108784989,2,199924915.43304375,0,1,0.5625889927904978,13214450.320205806,167,0.05102503705190474,0
5150768.215276931,2,200905949.3240457,0,1,0.5578293774058825,13226695.944861276,168,0.051275417503631446,0
5163513.620621205,2,201154363.3045357,0,1,0.5530697620212669,13242480.020870708,169,0.051338817968407224,0
